batch,BM,w_min,BI,f_w_min,f_BI
20,2017-03-20 17:30:00,3 days 05:43:15.999999600,3 days 23:59:00,2 days 03:21:39.225703,3 days 23:59:42.194266
21,2017-03-23 17:30:00,2 days 02:35:42.000000000,3 days 00:00:00,2 days 03:31:08.606349,3 days 23:59:42.190046
22,2017-03-27 16:30:00,3 days 02:02:12.999998400,3 days 23:00:00,2 days 03:30:48.646711,3 days 23:59:33.551827
23,2017-03-30 16:31:00,2 days 02:44:20.000000400,3 days 00:01:00,2 days 03:38:55.152831,3 days 23:59:33.194472
24,2017-04-03 16:31:00,3 days 00:59:12.999998400,4 days 00:00:00,2 days 03:38:35.501914,3 days 23:59:24.563153
25,2017-04-06 16:30:00,2 days 01:31:12.000000000,2 days 23:59:00,2 days 03:46:16.526902,3 days 23:59:24.566697
26,2017-04-10 16:30:00,3 days 02:44:11.000000400,4 days 00:00:00,2 days 03:45:27.899741,3 days 23:59:15.924240
27,2017-04-13 16:30:00,2 days 02:00:59.000000400,3 days 00:00:00,2 days 03:53:44.238342,3 days 23:59:15.928647
28,2017-04-20 16:31:00,2 days 03:47:17.999998800,7 days 00:01:00,2 days 03:53:03.646912,3 days 23:59:07.293055
29,2017-04-24 16:31:00,3 days 01:47:09.999999600,4 days 00:00:00,2 days 03:53:01.573031,3 days 23:59:33.224325
30,2017-05-01 16:31:00,5 days 03:38:51.000000000,7 days 00:00:00,2 days 04:00:54.663593,3 days 23:59:33.227003
31,2017-05-04 16:31:00,2 days 01:50:56.000000400,3 days 00:00:00,2 days 04:26:41.921611,3 days 23:59:59.149680
32,2017-05-08 16:31:00,4 days 01:07:05.999998800,4 days 00:00:00,2 days 04:25:45.846081,3 days 23:59:50.509765
33,2017-05-11 16:31:00,2 days 02:18:11.999998799,3 days 00:00:00,2 days 04:41:51.127005,3 days 23:59:50.510714
34,2017-05-15 16:30:00,3 days 01:56:25.000000800,3 days 23:59:00,2 days 04:40:59.412243,3 days 23:59:41.871663
35,2017-05-18 16:30:00,2 days 03:27:01.000000800,3 days 00:00:00,2 days 04:48:38.565769,3 days 23:59:41.867476
36,2017-05-22 16:31:00,3 days 01:47:27.999999600,4 days 00:01:00,2 days 04:48:09.180375,3 days 23:59:33.229289
37,2017-05-29 16:30:00,5 days 03:38:53.999998800,6 days 23:59:00,2 days 04:55:42.533293,3 days 23:59:33.237966
38,2017-06-01 16:30:00,1 days 06:32:27.999999600,3 days 00:00:00,2 days 05:21:10.082093,3 days 23:59:59.154642
39,2017-06-08 16:30:00,2 days 02:03:32.000000400,7 days 00:00:00,2 days 05:12:57.349600,3 days 23:59:50.514727
40,2017-06-12 16:31:00,3 days 01:11:17.000001600,4 days 00:01:00,2 days 05:11:49.157503,4 days 00:00:16.435676
41,2017-06-15 16:31:00,2 days 03:45:09.000000000,3 days 00:00:00,2 days 05:19:00.964558,4 days 00:00:16.440032
42,2017-06-19 16:31:00,3 days 02:36:16.999999200,4 days 00:00:00,2 days 05:18:27.172770,4 days 00:00:07.798388
43,2017-06-22 16:31:00,2 days 00:59:44.999998800,3 days 00:00:00,2 days 05:26:07.191734,4 days 00:00:07.797608
44,2017-06-26 16:31:00,3 days 04:15:05.000000400,4 days 00:00:00,2 days 05:24:31.298583,3 days 23:59:59.156828
45,2017-06-29 16:30:00,1 days 04:53:38.000000400,2 days 23:59:00,2 days 05:32:44.700792,3 days 23:59:59.156913
46,2017-07-03 16:30:00,3 days 01:41:21.000001200,4 days 00:00:00,2 days 05:23:52.220587,3 days 23:59:50.510997
47,2017-07-06 16:31:00,1 days 02:10:27.000001200,3 days 00:01:00,2 days 05:31:10.513263,3 days 23:59:50.511946
48,2017-07-10 16:31:00,3 days 08:54:07.999999200,4 days 00:00:00,2 days 05:21:19.852184,3 days 23:59:41.878895
49,2017-07-13 16:31:00,1 days 01:59:30.000001200,3 days 00:00:00,2 days 05:31:14.861071,3 days 23:59:41.880707
50,2017-07-17 16:31:00,3 days 05:17:56.000000400,4 days 00:00:00,2 days 05:21:20.231904,3 days 23:59:33.242519
51,2017-07-20 16:30:00,1 days 03:17:44.000001600,2 days 23:59:00,2 days 05:29:57.406513,3 days 23:59:33.245194
52,2017-07-24 16:30:00,3 days 05:02:13.999999200,4 days 00:00:00,2 days 05:20:31.406074,3 days 23:59:24.601870
53,2017-07-27 16:31:00,1 days 02:56:48.000001200,3 days 00:01:00,2 days 05:29:03.221637,3 days 23:59:24.605410
54,2017-07-31 16:30:00,3 days 09:12:45.000000000,3 days 23:59:00,2 days 05:19:30.010308,3 days 23:59:15.974949
55,2017-08-03 16:30:00,1 days 08:39:06.999998400,3 days 00:00:00,2 days 05:29:32.380246,3 days 23:59:15.973352
56,2017-08-07 16:31:00,3 days 06:48:09.000000000,4 days 00:01:00,2 days 05:22:02.227964,3 days 23:59:07.337754
57,2017-08-10 16:31:00,1 days 03:29:12.999998400,3 days 00:00:00,2 days 05:31:11.628596,3 days 23:59:07.349021
58,2017-08-14 16:30:00,4 days 01:03:34.999999200,3 days 23:59:00,2 days 05:21:49.316825,3 days 23:58:58.714286
59,2017-08-17 16:31:00,1 days 04:06:52.999999200,3 days 00:01:00,2 days 05:37:33.150924,3 days 23:58:58.714414
60,2017-08-21 16:31:00,3 days 01:44:18.999999600,4 days 00:00:00,2 days 05:28:22.110018,3 days 23:58:50.086543
61,2017-08-31 16:31:00,2 days 03:38:53.000001600,10 days 00:00:00,2 days 05:35:39.851358,3 days 23:58:50.093534
62,2017-09-04 16:31:00,4 days 03:12:05.000000400,4 days 00:00:00,2 days 05:34:57.810250,3 days 23:59:41.940525
63,2017-09-07 16:31:00,2 days 02:47:22.999999200,3 days 00:00:00,2 days 05:51:23.173389,3 days 23:59:41.942331
64,2017-09-11 16:31:00,3 days 01:35:48.000001200,4 days 00:00:00,2 days 05:50:16.932348,3 days 23:59:33.304137
65,2017-09-14 16:30:00,2 days 01:33:25.999999200,2 days 23:59:00,2 days 05:57:23.718754,3 days 23:59:33.306806
66,2017-09-18 16:30:00,3 days 02:03:56.000001600,4 days 00:00:00,2 days 05:55:48.692442,3 days 23:59:24.663475
67,2017-09-21 16:31:00,2 days 00:58:26.000000400,3 days 00:01:00,2 days 06:03:03.616287,3 days 23:59:24.667009
68,2017-09-25 16:30:00,3 days 06:14:13.999999200,3 days 23:59:00,2 days 06:01:13.950589,3 days 23:59:16.036542
69,2017-09-28 16:31:00,1 days 03:03:41.000000400,3 days 00:01:00,2 days 06:09:57.030886,3 days 23:59:16.034939
70,2017-10-02 16:30:00,3 days 03:39:38.999998800,3 days 23:59:00,2 days 06:00:11.574700,3 days 23:59:07.405335
71,2017-10-05 16:31:00,2 days 05:04:55.999999200,3 days 00:01:00,2 days 06:07:59.379252,3 days 23:59:07.404595
72,2017-10-09 16:30:00,3 days 05:51:42.999998400,3 days 23:59:00,2 days 06:07:36.678977,3 days 23:58:58.775854
73,2017-10-12 16:31:00,2 days 02:53:35.000001600,3 days 00:01:00,2 days 06:16:09.356903,3 days 23:58:58.775977
74,2017-10-16 16:31:00,3 days 03:02:30.999998400,4 days 00:00:00,2 days 06:14:56.430761,3 days 23:58:50.148099
75,2017-10-19 16:31:00,2 days 00:05:31.999999200,3 days 00:00:00,2 days 06:22:25.558177,3 days 23:58:50.155084
76,2017-10-23 16:30:00,3 days 05:22:50.000001600,3 days 23:59:00,2 days 06:20:09.876828,3 days 23:58:41.522069
77,2017-10-26 16:31:00,1 days 05:44:17.999998800,3 days 00:01:00,2 days 06:28:27.637567,3 days 23:58:41.523917
78,2017-10-30 17:31:00,3 days 07:32:25.000000800,4 days 01:00:00,2 days 06:19:33.339741,3 days 23:58:32.897764
79,2017-11-02 17:30:00,1 days 23:35:04.999999200,2 days 23:59:00,2 days 06:28:37.969703,3 days 23:58:33.266474
80,2017-11-06 17:30:00,3 days 04:18:34.999999200,4 days 00:00:00,2 days 06:26:09.091885,3 days 23:58:24.629148
81,2017-11-09 17:30:00,1 days 01:46:54.000001200,3 days 00:00:00,2 days 06:34:01.567333,3 days 23:58:24.638685
82,2017-11-13 17:30:00,3 days 05:23:36.999999600,4 days 00:00:00,2 days 06:23:39.801929,3 days 23:58:16.008221
83,2017-11-16 17:31:00,2 days 04:13:03.000000000,3 days 00:01:00,2 days 06:31:56.585118,3 days 23:58:16.018620
84,2017-11-20 17:30:00,3 days 05:20:33.000000000,3 days 23:59:00,2 days 06:31:06.583607,3 days 23:58:07.395018
85,2017-11-23 17:30:00,2 days 01:38:21.000001200,3 days 00:00:00,2 days 06:39:19.582105,3 days 23:58:07.400279
86,2017-11-27 17:31:00,3 days 01:19:05.999998800,4 days 00:01:00,2 days 06:37:31.230613,3 days 23:57:58.771539
87,2017-11-30 17:31:00,2 days 02:11:13.999999200,3 days 00:00:00,2 days 06:44:14.999229,3 days 23:57:58.789662
88,2017-12-04 17:31:00,3 days 04:54:28.000000800,4 days 00:00:00,2 days 06:42:36.713234,3 days 23:57:50.161783
89,2017-12-07 17:31:00,2 days 02:59:15.000000000,3 days 00:00:00,2 days 06:50:36.180954,3 days 23:57:50.174766
90,2017-12-11 17:31:00,3 days 00:43:26.000000400,4 days 00:00:00,2 days 06:49:12.893869,3 days 23:57:41.547749
91,2017-12-14 17:31:00,1 days 02:36:25.999999200,3 days 00:00:00,2 days 06:55:39.612505,3 days 23:57:41.561594
92,2017-12-18 17:31:00,3 days 02:34:59.000001600,4 days 00:00:00,2 days 06:45:27.890830,3 days 23:57:32.935438
93,2017-12-21 17:31:00,1 days 03:22:45.999998400,3 days 00:00:00,2 days 06:52:36.117485,3 days 23:57:32.950144
94,2018-01-04 17:31:00,2 days 07:25:08.000000400,14 days 00:00:00,2 days 06:42:42.176780,3 days 23:57:24.324849
95,2018-01-08 17:31:00,3 days 06:15:29.999998800,4 days 00:00:00,2 days 06:42:57.451720,3 days 23:58:50.740417
96,2018-01-11 17:30:00,1 days 00:20:00.999999600,2 days 23:59:00,2 days 06:51:25.967009,3 days 23:58:50.747343
97,2018-01-15 17:31:00,3 days 05:31:13.000000800,4 days 00:01:00,2 days 06:40:26.657207,3 days 23:58:42.108268
98,2018-01-18 17:31:00,2 days 02:33:15.000001199,3 days 00:00:00,2 days 06:48:40.135264,3 days 23:58:42.122057
99,2018-01-22 17:31:00,3 days 02:27:43.999999200,4 days 00:00:00,2 days 06:47:08.184453,3 days 23:58:33.489845
100,2018-01-25 17:31:00,1 days 03:33:32.000000400,3 days 00:00:00,2 days 06:54:13.199346,3 days 23:58:33.498496
101,2018-01-29 17:31:00,3 days 01:54:29.999998800,4 days 00:00:00,2 days 06:44:22.552150,3 days 23:58:24.867146
102,2018-02-01 17:31:00,1 days 03:49:18.999998400,3 days 00:00:00,2 days 06:51:16.596837,3 days 23:58:24.876660
103,2018-02-05 17:31:00,3 days 00:47:17.999998800,4 days 00:00:00,2 days 06:41:32.691256,3 days 23:58:16.246172
104,2018-02-08 17:31:00,1 days 00:23:49.999999200,3 days 00:00:00,2 days 06:48:03.563108,3 days 23:58:16.256547
105,2018-02-12 17:31:00,3 days 02:28:46.999999200,4 days 00:00:00,2 days 06:37:06.841730,3 days 23:58:07.626922
106,2018-02-13 17:31:00,12 days 08:22:06.999999600,1 days 00:00:00,2 days 06:44:15.842679,3 days 23:58:07.638159
107,2018-02-15 17:31:00,1 days 01:06:36.000000000,2 days 00:00:00,2 days 08:11:15.069623,3 days 23:57:41.729395
108,2018-02-19 17:31:00,3 days 00:03:33.000001200,4 days 00:00:00,2 days 08:00:03.795205,3 days 23:57:24.463222
109,2018-02-22 17:30:00,2 days 01:14:17.000001600,2 days 23:59:00,2 days 08:05:50.650434,3 days 23:57:24.478776
110,2018-02-26 17:31:00,3 days 00:04:20.999999999,4 days 00:01:00,2 days 08:03:22.488532,3 days 23:57:15.848328
111,2018-03-01 17:31:00,1 days 04:33:10.000000800,3 days 00:00:00,2 days 08:09:08.439600,3 days 23:57:15.870743
112,2018-03-05 17:30:00,3 days 00:39:46.000000800,3 days 23:59:00,2 days 07:59:12.288963,3 days 23:57:07.247156
113,2018-03-08 17:30:00,1 days 01:19:54.000001200,3 days 00:00:00,2 days 08:05:12.491229,3 days 23:57:07.258431
114,2018-03-12 17:31:00,3 days 02:13:45.000001200,4 days 00:01:00,2 days 07:54:08.180282,3 days 23:56:58.635706
115,2018-03-14 17:30:00,0 days 02:19:05.999998800,1 days 23:59:00,2 days 08:00:44.041200,3 days 23:56:58.659842
116,2018-03-15 17:31:00,1 days 01:07:36.999998399,1 days 00:01:00,2 days 07:41:24.252953,3 days 23:56:41.391976
117,2018-03-19 17:30:00,3 days 03:18:52.999999200,3 days 23:59:00,2 days 07:30:24.089435,3 days 23:56:15.497837
118,2018-03-22 17:31:00,1 days 03:25:45.999998400,3 days 00:01:00,2 days 07:37:31.942898,3 days 23:56:15.514287
119,2018-03-26 16:31:00,2 days 23:39:28.000000800,3 days 23:00:00,2 days 07:27:22.907241,3 days 23:56:06.902736
120,2018-03-29 16:31:00,1 days 00:58:26.000000400,3 days 00:00:00,2 days 07:33:12.857798,3 days 23:56:06.566045
121,2018-04-05 16:30:00,1 days 00:58:32.000001600,6 days 23:59:00,2 days 07:22:12.336651,3 days 23:55:57.949389
122,2018-04-09 16:30:00,3 days 00:24:01.000000800,4 days 00:00:00,2 days 07:11:15.814631,3 days 23:56:23.887594
123,2018-04-12 16:31:00,1 days 00:03:11.000001600,3 days 00:01:00,2 days 07:17:27.605743,3 days 23:56:23.909205
124,2018-04-16 16:31:00,3 days 01:22:21.000000000,4 days 00:00:00,2 days 07:06:12.866109,3 days 23:56:15.296814
125,2018-04-19 16:31:00,1 days 01:49:15.999999600,3 days 00:00:00,2 days 07:12:47.474912,3 days 23:56:15.319284
126,2018-04-23 16:31:00,3 days 02:17:32.999999999,4 days 00:00:00,2 days 07:02:12.606062,3 days 23:56:06.701752
127,2018-04-26 16:30:00,1 days 00:33:09.000000000,2 days 23:59:00,2 days 07:09:08.528426,3 days 23:56:06.725082
128,2018-04-30 16:31:00,3 days 19:03:12.999999600,4 days 00:01:00,2 days 06:58:07.571256,3 days 23:55:58.102410
129,2018-05-03 16:31:00,2 days 01:23:07.000000800,3 days 00:00:00,2 days 07:11:07.003828,3 days 23:55:58.132600
130,2018-05-07 16:31:00,3 days 02:54:48.999999600,4 days 00:00:00,2 days 07:09:01.723805,3 days 23:55:49.516786
131,2018-05-14 16:31:00,3 days 00:04:35.000000400,7 days 00:00:00,2 days 07:16:08.607462,3 days 23:55:49.541835
132,2018-05-17 16:31:00,1 days 02:45:48.999999600,3 days 00:00:00,2 days 07:22:11.645817,3 days 23:56:15.486880
133,2018-05-24 16:31:00,1 days 00:32:21.999998400,7 days 00:00:00,2 days 07:11:53.749943,3 days 23:56:06.869332
134,2018-05-28 16:30:00,3 days 00:42:01.000000800,3 days 23:59:00,2 days 07:00:51.519443,3 days 23:56:32.812645
135,2018-05-31 16:31:00,1 days 00:20:53.000001600,3 days 00:01:00,2 days 07:07:13.536326,3 days 23:56:32.827364
136,2018-06-04 16:31:00,3 days 00:51:21.999999600,4 days 00:00:00,2 days 06:56:08.853108,3 days 23:56:24.214081
137,2018-06-07 16:31:00,1 days 02:05:45.999999600,3 days 00:00:00,2 days 07:02:35.931990,3 days 23:56:24.235659
138,2018-06-11 16:31:00,3 days 02:35:08.000001600,4 days 00:00:00,2 days 06:52:10.672398,3 days 23:56:15.617236
139,2018-06-14 16:31:00,1 days 01:04:06.999999600,3 days 00:00:00,2 days 06:59:16.536363,3 days 23:56:15.639674
140,2018-06-18 16:31:00,3 days 00:39:25.999999200,4 days 00:00:00,2 days 06:48:30.279145,3 days 23:56:07.022110
141,2018-06-21 16:31:00,1 days 00:19:13.000000800,3 days 00:00:00,2 days 06:54:55.813470,3 days 23:56:07.045408
142,2018-06-25 16:31:00,3 days 00:56:12.999998400,4 days 00:00:00,2 days 06:43:54.956589,3 days 23:55:58.428703
143,2018-06-28 16:31:00,1 days 01:18:54.000000000,3 days 00:00:00,2 days 06:50:28.184850,3 days 23:55:58.452861
144,2018-07-02 16:31:00,3 days 00:41:07.000000800,4 days 00:00:00,2 days 06:39:50.419741,3 days 23:55:49.837015
145,2018-07-05 16:31:00,1 days 01:37:24.999999600,3 days 00:00:00,2 days 06:46:19.679222,3 days 23:55:49.862032
146,2018-07-09 16:31:00,3 days 02:27:29.000001600,4 days 00:00:00,2 days 06:35:50.071147,3 days 23:55:41.247045
147,2018-07-12 16:31:00,1 days 00:05:39.000001200,3 days 00:00:00,2 days 06:42:59.064720,3 days 23:55:41.272921
148,2018-07-16 16:31:00,3 days 00:40:32.000001600,4 days 00:00:00,2 days 06:31:57.624332,3 days 23:55:32.658793
149,2018-07-19 16:32:00,1 days 04:58:24.999999600,3 days 00:01:00,2 days 06:38:29.510586,3 days 23:55:32.685527
150,2018-07-23 16:31:00,3 days 02:58:37.999999200,3 days 23:59:00,2 days 06:29:15.083522,3 days 23:55:24.078259
151,2018-07-26 16:31:00,1 days 02:09:02.000001600,3 days 00:00:00,2 days 06:36:37.661021,3 days 23:55:24.099851
152,2018-07-31 16:30:00,4 days 02:07:01.999999200,4 days 23:59:00,2 days 06:26:22.927055,3 days 23:55:15.487441
153,2018-08-02 16:31:00,1 days 05:14:17.000001600,2 days 00:01:00,2 days 06:42:06.361493,3 days 23:55:24.149892
154,2018-08-06 16:31:00,3 days 07:44:38.000000400,4 days 00:00:00,2 days 06:32:56.345324,3 days 23:55:06.903477
155,2018-08-09 16:31:00,1 days 06:06:18.000000000,3 days 00:00:00,2 days 06:42:00.555252,3 days 23:55:06.932787
156,2018-08-13 16:31:00,3 days 00:19:18.999998400,4 days 00:00:00,2 days 06:33:09.299920,3 days 23:54:58.322094
157,2018-08-16 16:31:00,2 days 00:33:24.000001200,3 days 00:00:00,2 days 06:39:33.118121,3 days 23:54:58.352262
158,2018-08-20 16:31:00,3 days 02:26:15.000000000,4 days 00:00:00,2 days 06:37:21.303412,3 days 23:54:49.742426
159,2018-08-23 16:31:00,1 days 04:53:08.999998800,3 days 00:00:00,2 days 06:44:29.305591,3 days 23:54:49.773452
160,2018-08-27 16:31:00,3 days 01:25:32.000001600,4 days 00:00:00,2 days 06:35:10.823758,3 days 23:54:41.164475
161,2018-08-30 16:31:00,2 days 05:13:05.000001600,3 days 00:00:00,2 days 06:41:57.750815,3 days 23:54:41.196358
162,2018-09-03 16:31:00,3 days 00:30:25.999999200,4 days 00:00:00,2 days 06:41:25.754311,3 days 23:54:32.588239
163,2018-09-06 16:31:00,2 days 01:49:32.999998800,3 days 00:00:00,2 days 06:47:50.595785,3 days 23:54:32.620980
164,2018-09-10 16:31:00,3 days 01:41:03.999998400,4 days 00:00:00,2 days 06:46:03.210210,3 days 23:54:24.013718
165,2018-09-13 16:31:00,1 days 02:03:46.000000800,3 days 00:00:00,2 days 06:52:51.814949,3 days 23:54:24.047316
166,2018-09-17 16:31:00,3 days 01:12:06.999998400,4 days 00:00:00,2 days 06:42:29.340059,3 days 23:54:15.440912
167,2018-09-20 16:31:00,1 days 02:29:29.000000400,3 days 00:00:00,2 days 06:49:08.806019,3 days 23:54:15.475368
168,2018-09-24 16:31:00,3 days 00:24:51.999998400,4 days 00:00:00,2 days 06:38:56.927182,3 days 23:54:06.869820
169,2018-09-27 16:31:00,1 days 02:36:28.000000800,3 days 00:00:00,2 days 06:45:20.657619,3 days 23:54:06.905133
170,2018-10-01 16:31:00,3 days 00:35:48.999998400,4 days 00:00:00,2 days 06:35:12.661674,3 days 23:53:58.300442
171,2018-10-04 16:31:00,1 days 01:05:03.000001200,3 days 00:00:00,2 days 06:41:41.679704,3 days 23:53:58.336612
172,2018-10-08 16:31:00,3 days 00:45:42.999998400,4 days 00:00:00,2 days 06:31:02.087625,3 days 23:53:49.732779
173,2018-10-11 16:31:00,1 days 01:54:16.999999200,3 days 00:00:00,2 days 06:37:36.173100,3 days 23:53:49.769805
174,2018-10-15 16:31:00,3 days 00:34:03.000000000,4 days 00:00:00,2 days 06:27:15.778061,3 days 23:53:41.166829
175,2018-10-18 16:31:00,1 days 01:43:55.999999200,3 days 00:00:00,2 days 06:33:47.021393,3 days 23:53:41.204712
176,2018-10-22 16:31:00,3 days 01:17:27.999999599,4 days 00:00:00,2 days 06:23:24.275264,3 days 23:53:32.602591
177,2018-10-25 16:31:00,1 days 01:36:11.999998800,3 days 00:00:00,2 days 06:30:12.537613,3 days 23:53:32.641331
178,2018-10-29 17:31:00,3 days 02:52:27.999998400,4 days 01:00:00,2 days 06:19:48.294387,3 days 23:53:24.040067
179,2018-11-01 17:31:00,1 days 00:36:24.000001200,3 days 00:00:00,2 days 06:27:12.052621,3 days 23:53:24.439663
180,2018-11-05 17:31:00,3 days 00:06:52.999999200,4 days 00:00:00,2 days 06:16:27.364305,3 days 23:53:15.839219
181,2018-11-08 17:31:00,1 days 01:27:10.000000800,3 days 00:00:00,2 days 06:22:52.718119,3 days 23:53:15.879635
182,2018-11-12 17:30:00,3 days 01:16:32.999998800,3 days 23:59:00,2 days 06:12:27.861810,3 days 23:53:07.280047
183,2018-11-15 17:31:00,1 days 00:44:22.999999200,3 days 00:01:00,2 days 06:19:19.732640,3 days 23:53:07.315319
184,2018-11-19 17:31:00,3 days 03:35:30.000001200,4 days 00:00:00,2 days 06:08:40.752244,3 days 23:52:58.722588
185,2018-11-22 17:31:00,1 days 01:51:54.000000000,3 days 00:00:00,2 days 06:16:24.007730,3 days 23:52:58.764715
186,2018-11-26 17:31:00,3 days 00:46:41.999998800,4 days 00:00:00,2 days 06:06:10.387684,3 days 23:52:50.166839
187,2018-11-29 17:31:00,2 days 00:17:58.999999199,3 days 00:00:00,2 days 06:12:53.777358,3 days 23:52:50.209822
188,2018-12-03 17:31:00,3 days 00:19:17.000000400,4 days 00:00:00,2 days 06:10:46.008694,3 days 23:52:41.612801
189,2018-12-06 17:31:00,1 days 02:07:03.000000000,3 days 00:00:00,2 days 06:17:17.874641,3 days 23:52:41.656640
190,2018-12-10 17:31:00,3 days 01:19:05.000001600,4 days 00:00:00,2 days 06:07:09.385394,3 days 23:52:33.060474
191,2018-12-13 17:31:00,1 days 00:35:00.999999599,3 days 00:00:00,2 days 06:14:04.079081,3 days 23:52:33.105168
192,2018-12-17 17:31:00,3 days 03:00:41.000000400,4 days 00:00:00,2 days 06:03:23.620607,3 days 23:52:24.509858
193,2018-12-20 17:31:00,1 days 01:37:09.000001200,3 days 00:00:00,2 days 06:10:56.244883,3 days 23:52:24.555407
194,2019-01-03 11:59:00,0 days 20:07:59.000001599,13 days 18:28:00,2 days 06:00:39.281414,3 days 23:52:15.960951
195,2019-01-07 17:31:00,3 days 00:28:18.999998400,4 days 05:32:00,2 days 05:48:27.519725,3 days 23:53:40.415355
196,2019-01-10 17:31:00,1 days 07:50:57.000001200,3 days 00:00:00,2 days 05:55:10.668607,3 days 23:53:42.445313
197,2019-01-14 17:31:00,3 days 01:11:33.000000000,4 days 00:00:00,2 days 05:47:13.946595,3 days 23:53:33.843069
198,2019-01-17 17:31:00,1 days 08:33:02.999998800,3 days 00:00:00,2 days 05:54:13.100916,3 days 23:53:33.881685
199,2019-01-21 17:31:00,3 days 01:30:51.999998400,4 days 00:00:00,2 days 05:46:31.880310,3 days 23:53:25.280296
200,2019-01-24 17:31:00,2 days 06:53:44.000001600,3 days 00:00:00,2 days 05:53:38.241028,3 days 23:53:25.319768
201,2019-01-28 17:31:00,4 days 06:54:38.999998800,4 days 00:00:00,2 days 05:53:59.875582,3 days 23:53:16.719236
202,2019-01-31 17:31:00,2 days 08:38:03.000001200,3 days 00:00:00,2 days 06:11:38.510329,3 days 23:53:16.759565
203,2019-02-11 17:31:00,3 days 06:37:27.999998400,11 days 00:00:00,2 days 06:12:31.217267,3 days 23:53:08.159889
204,2019-02-14 17:31:00,1 days 01:42:07.999999200,3 days 00:00:00,2 days 06:21:18.597963,3 days 23:54:08.681073
205,2019-02-18 17:31:00,3 days 02:00:52.999999200,4 days 00:00:00,2 days 06:10:59.694375,3 days 23:54:00.076204
206,2019-02-21 17:30:00,2 days 08:33:47.000001600,2 days 23:59:00,2 days 06:18:08.054209,3 days 23:54:00.112197
207,2019-03-07 17:31:00,3 days 03:13:01.999999200,14 days 00:01:00,2 days 06:18:56.887884,3 days 23:53:51.502186
208,2019-04-08 16:31:00,3 days 08:27:45.000000000,31 days 23:00:00,2 days 06:26:28.358556,3 days 23:55:17.945035
209,2019-04-18 16:31:00,3 days 00:53:27.999999600,10 days 00:00:00,2 days 06:35:50.418405,3 days 23:59:19.533241
210,2020-05-17 00:00:00,0 days 00:00:00.000000000,,2 days 06:42:25.563895,4 days 00:00:11.377288
